student_id,subject_id,average_grade,needs_help
17,3,5.2,1
17,2,4.0,1
17,6,9.0,0
22,2,7.5,1
22,3,9.0,0
22,4,6.8,1
22,5,8.2,0
23,3,5.6,1
23,4,7.4,1
23,5,6.9,1
23,6,8.0,0
24,2,9.3,0
24,5,5.8,1
24,6,7.2,1
24,3,8.9,0
25,4,6.5,1
25,2,7.1,1
25,3,8.7,0
25,6,9.8,0
26,5,9.0,0
26,6,5.7,1
26,4,7.9,1
26,2,8.5,0
27,3,6.2,1
27,5,7.6,1
27,2,9.1,0
27,6,8.3,0
28,4,7.4,1
28,6,5.9,1
28,3,8.6,0
28,5,9.2,0
29,2,6.8,1
29,3,7.3,1
29,5,8.1,0
29,6,9.7,0
30,4,9.4,0
30,2,5.5,1
30,3,7.8,1
30,6,8.0,0
31,5,6.3,1
31,6,7.7,1
31,4,9.5,0
31,2,8.4,0
32,3,5.9,1
32,2,7.0,1
32,6,8.9,0
32,5,9.3,0
33,4,6.4,1
33,5,7.9,1
33,2,9.8,0
33,6,8.2,0
34,3,5.7,1
34,6,6.9,1
34,4,8.5,0
34,5,9.0,0
35,2,7.3,1
35,3,8.1,0
35,5,9.6,0
35,6,6.7,1
36,4,6.0,1
36,5,7.8,1
36,3,8.4,0
36,2,9.1,0
37,6,5.8,1
37,2,7.2,1
37,4,8.3,0
37,5,9.5,0
38,3,6.6,1
38,5,7.5,1
38,2,9.2,0
38,6,8.7,0
39,4,5.5,1
39,2,7.9,1
39,3,8.6,0
39,5,9.1,0
40,6,6.3,1
40,5,7.1,1
40,4,9.0,0
40,2,8.4,0
41,3,5.7,1
41,2,7.6,1
41,6,8.8,0
41,5,9.3,0
42,4,6.5,1
42,5,7.2,1
42,2,9.7,0
42,6,8.9,0
43,3,5.8,1
43,6,7.3,1
43,4,8.2,0
43,5,9.4,0
44,2,6.7,1
44,3,8.1,0
44,5,9.5,0
44,6,7.6,1
45,4,5.9,1
45,5,7.8,1
45,3,8.7,0
45,2,9.3,0
46,6,6.4,1
46,2,7.5,1
46,4,9.1,0
46,5,8.8,0
47,3,5.6,1
47,5,7.9,1
47,2,9.2,0
47,6,8.3,0
48,4,6.2,1
48,2,7.0,1
48,3,8.5,0
48,5,9.4,0
49,6,5.7,1
49,5,7.4,1
49,4,8.6,0
49,2,9.1,0
50,3,6.1,1
50,2,7.9,1
50,6,8.3,0
50,5,9.0,0
51,4,5.5,1
51,5,7.7,1
51,3,8.9,0
51,2,9.6,0
